0.2652528260846063	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella
3.2100653934997845	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
0.06060995360490721	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
4.7524015005328755	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
0.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1
0.5985016454365006	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
0.7693427097652991	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
1.7582782917249389	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
3.2822690660936256	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
0.11452047969788755	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
18.25430018581331	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
0.0	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
0.8745547299595369	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
3.4054279670573053	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
2.161982097787384	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
0.43780458630238356	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
0.3943615493186243	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
