#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Archaea ; Euryarchaeota ; Methanobacteria ; Methanobacteriales ; Methanobacteriaceae ; Methanobrevibacter ; Methanobrevibacter smithii,0.0,0.0,0.10720017917484002,0.0,0.1875082130860838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09417613283680572,0.02325651452568099,0.4226948317107591,0.16049625924201139,0.038304696534319935,0.0,0.6265742999057807,0.0556185803392628,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinobaculum ; Actinobaculum sp,0.0,0.00830924358122251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinomyces ; Actinomyces sp,0.03932557218860733,0.036929971472203116,0.08933348264574097,0.0,0.07917013441401363,0.0,0.006241133117996028,0.0,0.0028886116179166524,0.0,0.0,0.0,0.07503469613971683,0.004185605903847265,0.005814128631425301,0.02475240005509407,0.0,0.0028373849284665273,0.0,0.02189641370633828,0.0,0.0,0.0,0.02852694988499264,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Varibaculum ; Varibaculum cambriense,0.050394325916811596,0.0,0.0,0.012168464525783252,0.0,0.03526462664680391,0.01970884142530334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium adolescentis,1.5309150322198288,1.915326926601927,0.8326418617515337,31.13187471812588,3.3275879117471585,2.339643288882323,3.661250841975578,10.447203811633655,43.18660012193605,3.4546650656165396,5.819320008582274,18.78216390307753,1.2615087731446577,9.501540599997178,1.9609606078215405,3.1071432776353367,15.823002168544516,49.41207383273221,2.1524718870832658,3.731959456892211,5.414674432544896,36.674711920049376,3.2811832644705854,10.462937210374534,8.081389618749622
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium bifidum,0.0,0.2939732386138158,0.1437444382953493,0.0020866500540660847,0.21661598623690498,0.0,0.0,0.0,2.4558412852573346,0.5037827765918967,0.9083440708683556,0.7463921860299192,0.1381505235784445,2.8173509775186862,0.23298493793671177,0.5712092320415779,0.5105515911638436,0.8373870682403823,0.2667163614595638,0.3958501894705278,0.20315132338884997,4.321752167099982,0.2318690846692762,0.6127630029442979,0.2317164153064652
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium dentium,0.005129422459380857,0.009694117511441721,0.015314311310744073,0.0043350154873102835,0.014063115981474065,0.005583565885756959,0.0015602832795031808,0.0698654391710635,0.1917315961392123,0.0238951762185219,0.023588560090419423,0.12871634896804118,0.0393932154732852,0.1428338014688,0.15116734441692645,2.0220806814328967,24.226794030959425,0.03830469653442905,0.07915760584767391,0.0821115513988855,2.044800747762794,0.6493161872464747,0.3503331079262379,5.059967735851079,26.398048024300184
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium pseudocatenulatum,0.010038008726748343,0.03794175151249206,0.02996929806403035,0.1176364280962997,0.04036380320831287,0.010926743416342671,0.019541708392896814,0.06764189187434828,0.2560745719987245,0.05237298897195601,0.06154875431275305,0.2865261192783483,0.07048268913319782,0.24450163645845807,0.013653531032630097,0.07042305600512337,0.32227616081956767,0.10994172521271689,0.020654300286373526,0.011866188370164822,0.07298858246436958,0.5589372416167946,0.16911056742669336,0.36007598191369317,0.22888482962687837
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium sp,0.0,0.0,0.0,0.008678709684300064,0.0018769590899436698,0.0,0.0,0.0022084855119657997,0.0117105876401829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010224810553058742,0.0,0.0,0.001964973691549572,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Curtobacterium ; Curtobacterium sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009624535932039503,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Rothia ; Rothia sp,0.003288091320123917,0.0035509587954041457,0.0,0.0,0.010016464374249015,0.0,0.0,0.0,0.0,0.0,0.005040290617606131,0.0,0.026454540305584594,0.0,0.0,0.005492396461937319,0.0014910466298983607,0.0,0.0,0.008097786134010071,0.002097231536173101,0.003951534732508436,0.018714375423397534,0.022858132920721547,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Propionibacteriales ; Propionibacteriaceae ; Propionibacterium ; Propionibacterium sp,0.0025647112296842017,0.0055394957208304675,0.10720017917484002,0.002890010324881527,0.02187595819336459,0.0,0.009361699676994042,0.0,0.0043329174268749784,0.0,0.01179428004517562,0.0,0.0,0.10359374612029248,0.011628257262840495,0.25418810825979116,0.06978098227903651,0.0042560773926997916,0.0,0.030318111285771124,0.003271681196430038,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified,0.144084900544616,0.5352771145954337,0.0,0.40265312391586217,0.0035113897581530453,0.20703109464016348,0.17180647347282121,0.1570009869012663,0.6864509631333131,1.0524616941162175,0.32688266792022325,0.298289291851598,0.008430864734799644,0.0,0.0,0.0,0.0,0.0,0.0,0.005677548929902166,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Atopobiaceae ; Atopobium ; Atopobium rimae,0.0,0.001846498573610156,0.0,0.0,0.012500547539072251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007503469613971684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Atopobiaceae ; Olsenella ; Olsenella sp,0.04914416727550521,0.003317063305886508,0.009170246293844017,0.01384436083772706,0.04116946794300974,0.0601821472714917,0.07474410919745728,0.15853487615249306,0.005189122666916142,0.04578716401146412,0.009416590854449779,0.0,0.10334119827609829,0.1052667353065705,0.01044454245166222,0.013681658252509445,0.09192704252345496,0.020388394695620128,0.0,0.03630911531230075,0.03918181073568907,0.08859009603904905,0.9510040454672525,0.051246017757471826,0.008540977650035081
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella aerofaciens,0.918166620230481,0.7123791496979539,0.2036803404324663,8.746327247190983,0.8037852067622557,4.792932956325157,1.7487654996601534,5.855459228211108,4.873665521742348,2.141007789173562,1.0819286228147527,7.887094283027838,0.1470680044335275,2.8353294392684427,0.7918843195999078,0.09139347712666852,3.125257593004424,2.2472088633479337,0.182942022404037,0.31328714995265644,1.257634251902674,0.21452091755867736,1.4760701613950957,0.1226658845049256,0.05990641723729694
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Collinsella ; Collinsella sp,0.0,0.0,0.03909058442669512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49774772910767445,0.06460142923807104,0.06861372156663896,0.13411359957512672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Coriobacteriaceae ; Senegalimassilia ; Senegalimassilia anaerobia,0.3683156728350781,0.0,0.0,0.49543034140688946,0.0,0.6255273059986881,0.43641006012983385,0.7381904336633732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Coriobacteriales ; Unclassified ; Unclassified ; Unclassified,0.045138917642601355,0.0,0.13476593953425306,0.011560041299487685,0.767533618897794,0.04913537979452076,0.037446798707876004,0.017650216211630668,0.0,0.0,0.0,0.0,0.0,0.047715907304033245,0.08837475519764841,0.1736476065407742,0.009304130970549229,0.06639480732621275,0.09850724283263466,0.36785975026685735,0.034025484442910654,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Adlercreutzia ; Adlercreutzia equolifaciens,0.006155306951262009,0.07312134351475809,0.006125724524287804,0.0,0.05500240917186102,0.03126796896019215,0.004992906494390145,0.008825108105815334,0.0675935118591883,0.1032271612636896,0.14467650188751185,0.07401190065675445,0.024011102764709386,0.0050227270846167175,0.002325651452566887,0.0,0.0,0.04426320488420002,0.028144926523643584,0.10308157837162182,0.04449486427141024,0.01808222293598422,0.16815989180435814,0.037085034850558286,0.005705373070223434
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Eggerthella ; Eggerthella lenta,0.0,0.0,0.012761926092258067,0.0,0.0,0.0,0.0,0.012257094591410188,0.005777223235818694,0.05097637593276339,0.0,0.016089543620985337,0.0,0.23857953652016628,0.19380428771390726,0.045696738563286966,0.48691618745916754,0.0,0.0,0.0,0.00436224159524005,0.004109596121808774,0.02724813061651796,0.0,0.01901791023407811
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Enterorhabdus ; Enterorhabdus mucosicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027120974508225128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01650440209563042,0.05627841091184544,0.017184909569252237,0.011456572430167535
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Gordonibacter ; Gordonibacter pamelaeae,0.0,0.0,0.02041908174765877,0.0,0.0,0.0,0.006241133117996028,0.0,0.0,0.0,0.0,0.0,0.0,0.06906249741352832,0.07945975796271813,0.045696738563286966,0.15196747251891007,0.0,0.0,0.005053018547628521,0.02181120797620025,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia isoflavoniconvertens,0.0,0.0,0.07657155655359754,0.0,0.3500153310928852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838920235878078,0.9680524171300692,0.059976969364284594,0.12327973535970696,0.566058293230316,0.24626810708188138,0.017685564916692025,0.08179202991075094,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Coriobacteriia ; Eggerthellales ; Eggerthellaceae ; Slackia ; Slackia sp,0.0,0.047085713627082165,0.0,0.0,0.0,0.0,0.0,0.0,0.021664587134331063,0.6595068636280168,0.04324569349908334,0.12469396306283448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified ; Unclassified,0.011526792043552486,0.4730355896433246,0.0,0.006494405224425887,0.024579728307151223,0.0,0.024543781924684725,0.0,0.15335606623185802,0.3597700689065727,0.5521666687820558,0.081351625050193,0.0927395120827961,0.0,0.0,0.0,0.0,0.0,0.0,0.03406529357951812,0.0,0.009235047464756806,0.026242180368995536,0.04807912901965053,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Anaerorhabdus ; Anaerorhabdus furcosa,0.003574510424655649,0.0,0.0,0.0,0.0032666936077673644,0.0,0.005436527106265409,0.0025624587995979487,0.0,0.0,0.0027396701614862597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caccae,0.1200284855491509,0.30245646635640655,0.05819438298070465,0.19420869383150066,0.1700074465309654,0.03126796896019215,0.1784964071741622,0.0014708513509692225,0.29377180154165455,0.44922931290677415,0.5566900181325802,0.16572229929679877,0.03451596022421683,0.08915340575205333,0.038373248967358484,0.14394472647428302,0.12746659429670143,0.09022884072555852,0.1547970958801576,0.3840294096191439,0.09422441845716593,0.02054798060905988,0.0537177432153368,0.02852694988495872,0.01996880574573291
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caecicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094980628024958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632912482895377,0.07390993838106286,0.15647694029728484,0.09629321637497544
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides clarus,0.041121952206033145,0.0,0.027462372603564288,0.057312441041812476,0.0,0.0,0.06451804278093287,0.0,0.0,0.0,0.001658829823515942,0.0,0.0,0.0357630884190197,0.014719312990873371,0.06868971777722993,0.03042490085304612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides coprocola,0.10496919378910949,0.0,1.411889038565546,0.27070982789903847,0.002637246316259969,0.02591528470175146,0.4661099417239442,0.16291075089843624,0.0018282352012130713,0.0,0.0,0.0,0.12030879549872672,1.4888041252982736,0.3544901211977519,1.904030773475528,1.1109996053441547,0.0,0.0,0.0,0.0,0.11531145236296515,0.06159161531744861,0.1008072596146176,0.054164934210981966
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides eggerthii,0.0,0.0013848739302076169,0.06700011198430572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04237925977653835,0.027617110999189332,0.1727907926927096,0.08955226059153011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides nordii,0.0,0.008863193153310195,0.0015314311310670374,0.001156004129952611,0.013750602292965255,0.0,0.0012482266236025447,0.0,0.007799251368361812,0.007646456389902008,0.011007994708824518,0.0,0.003001387845588673,0.0025113635423083588,0.00813978008399138,0.0,0.0018608261941131543,0.015321878613727975,0.03518115815449554,0.037392337252419874,0.014395397264330433,0.002465757673085265,0.002335554052837652,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides plebeius,0.0,0.15893911772815594,0.0,0.0,0.0,0.0,0.0,0.0,0.07130117284715258,0.2036635272629688,0.31683649629136273,0.19348185367037776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides sp,0.5508177282334467,9.394937995709148,4.6702187762940035,0.7743276608832429,3.4574299206121877,0.28271219674694087,1.023071821240688,0.4577016334767632,5.677584417354048,3.02873879157238,11.427678654232002,3.857756608706025,1.26957439460284,6.813530623232801,3.3940282538227624,6.372477677291263,4.50386677466895,1.733857688883468,3.406783036478437,4.33024500853084,2.0058028600878095,0.6155724148711377,1.7516655396333685,0.9253203681039093,0.3039254641835842
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides stercoris,0.027698881280718894,0.0,0.24962327436408438,0.05548819823757163,0.0,0.002233426354302784,0.07988650391036252,0.03677128377417973,0.0,0.0,0.0,0.0,0.0,0.24360226360424028,0.04186172614616515,0.6477512691356923,0.15630940030563725,0.0,0.0,0.0010106037095225855,0.0,0.008219192243623953,0.0,0.024247907402209824,0.011410746140446869
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides thetaiotaomicron,0.013809983544510872,0.033023916797196115,0.05742866741508949,0.04557323973840555,0.022837538773273165,0.008590101362691756,0.08401525351142078,0.012728521306474202,0.027497360593591744,0.007352361913367315,0.03477800526142112,0.004641214506062606,0.14285451765046212,0.05312499801049958,0.07379470955261247,0.11094640853150066,0.09214668172760734,0.02291733980689538,0.08118728804897189,0.05927579450099688,0.010066711373649282,0.10590113083096131,0.02245725050805434,0.0013714879752432928,0.05760232426663168
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides uniformis,0.17440036361907368,1.5385949364547835,0.721686920517356,0.16617559368032758,1.331308312908137,0.09212883711487276,0.21219852601118047,0.13421518577653888,0.995487778823173,1.0800619650739398,1.8025591335670603,0.44648483548341295,0.018758674034929212,0.5540695815227871,0.39536074693718326,1.056737079276898,0.5628999237182779,0.4905129195095729,0.5101267932408927,1.6093864074139923,0.4907521794645056,0.03595896606592683,0.014597212830250077,0.03030988425276228,0.007131716337779293
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella intestinihominis,0.041035379675046856,0.07866083923563494,0.00459429339321094,0.04739616932794177,0.05125224491013461,0.013400558125746469,0.12607088898385702,0.03088787837034351,0.03639650638572352,0.007646456389902008,0.10221709372518872,0.004826863086305111,0.0,0.0025113635423083588,0.0,0.004569673856338155,0.0009304130970565771,0.011065801221006364,0.0,0.15967538610499887,0.009160707350004104,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella viscericola,0.0,0.0,0.0,0.0,0.01500065704690567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01447066313523602,0.0,0.07983769305249944,0.009160707350004104,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas paravirosa,0.016414151870018743,0.03323697432489004,0.00765715565535484,0.003468012389848227,0.01125049278517925,0.0,0.01373049285962799,0.002941702701938445,0.011265585309835497,0.0,0.03774169614458017,0.0,0.01950902099627346,0.0025113635423083588,0.0,0.011424184640798097,0.0,0.0,0.0,0.010106037095225855,0.0,0.0016438384487267113,0.0,0.005705389976991744,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas virosa,0.0,0.0,0.0,0.0,0.0025001095078144506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002021207419045171,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter fastidiosus,0.002051768983757324,0.0,0.0,0.004624016519800838,0.0,0.0,0.011234039612422902,0.002941702701938445,0.0,0.0,0.007862853363456474,0.0,0.0,0.0,0.0,0.004569673856338155,0.0,0.0,0.0,0.002021207419045171,0.00261734495714403,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter secundus,0.0,0.004431596576655097,0.0,0.0,0.0,0.0,0.006241133117992689,0.0014708513509692225,0.004332917426870596,0.0,0.009435424036122315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Odoribacter ; Odoribacter splanchnicus,0.039753024060217204,0.12602352764811622,0.05742866741513674,0.023120082599028202,0.08437869588872585,0.0,0.05773048134149247,0.012869949321018825,0.05416146783588244,0.007168552865540945,0.18084562735938983,0.008044771810508517,0.037517348069858424,0.05179687306014624,0.0,0.12995010028948034,0.015119212827128024,0.04149675457888297,0.0,0.20212074190475102,0.022901768374962425,0.009246591274081749,0.008758327698155948,0.028526949884907837,0.0
