	1-MS515F	10-MS515F	12-MS515F	13-MS515F	14-MS515F	15-MS515F	16-MS515F	17-MS515F	18-MS515F	19-MS515F	2-MS515F	21-MS515F	22-MS515F	23-MS515F	24-MS515F	25-MS515F	27-MS515F	28-MS515F	29-MS515F	3-MS515F	30-MS515F	32-MS515F	33-MS515F	34-MS515F	35-MS515F	36-MS515F	37-MS515F	38-MS515F	39-MS515F	4-MS515F	5-MS515F	9-MS515F
Archaea ; Euryarchaeota ; Methanobacteria ; Methanobacteriales ; Methanobacteriaceae ; Methanobrevibacter ; Methanobrevibacter smithii	0.104265094001	0	0	0	0	0	0	0	0	0	0.0657894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185175387546	0	0	0	0.130430731965
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinomyces ; Actinomyces sp	0.0553908311883	0	0	0.0467781546018	0.0215383142679	0	0	0.0147693034796	0	0	0.0137061403509	0	0	0.00325361965186	0	0	0	0	0	0.0314240324017	0	0	0.00402463074013	0	0.0345763072504	0.0766252621391	0.0208123764265	0.140204221999	0.0291108708309	0	0	0.059004378746
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium adolescentis	19.3802743475	11.3176633688	11.7450012087	11.213113476	1.02187335471	14.0741030251	4.85175631349	6.17356885449	49.0292645203	47.057189899	6.35416666667	10.6308037144	19.4864713417	0.836180250529	0.783502664513	12.7051878278	9.66061255295	19.7197640118	0.481695568401	8.1650110857	6.42307159399	24.5711784807	9.25463838693	3.14104023965	1.3697537103	1.32682690757	5.497936106	13.5336754669	18.502037761	11.0000286049	6.184084372	5.490512717
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium bifidum	0	0.615455710295	0.48520219636	1.07784664562	0	0	0	0.0620310746145	0.170947128495	0.243994366309	1.28015350877	0.0260166506564	0.0840537944284	0.00325361965186	0.0015096390453	0.0339767683846	1.57277109607	1.85630004214	0	0	0.518596227311	1.07226421129	2.70052722663	2.40176584973	0.015958295654	0.326665591224	0.676402233862	0.346542510978	1.00640439158	0.00143024686061	0.00165305650147	0.636626191733
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium dentium	0	0	0	0.00194908977508	0	0.734776831079	0.00796152988758	0.0295386069593	0.111929667467	0.107119477892	0.00548245614035	0.0180115273775	0.0440281780339	0.022775337563	0.0362313370873	0.0722006328173	5.84798169158	0.564686051412	0.0963391136802	0.00523733873361	0.619544347895	0	0.0181108383306	0	0.0106388637693	0	0.201186305456	0.0185175387546	0.0374282624969	0.333247518522	0.00495916950441	0
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium pseudocatenulatum	0.08634453097	0.0294074400823	0.0189936802846	0.0545745137021	0.00478629205954	0.0410380676933	0.00636922391007	0.685295681456	1.7399975579	2.12255261748	0.104166666667	0.458293307717	1.3188440602	0.069952822515	0.0407602542232	0.42046250876	0.725519793543	0.804888327012	0.0229378842096	0.0471360486025	0.158349993072	0.255862103792	0.603694611019	0.166424329485	0.180860684079	0.13308598161	0.534184328281	0.775091265012	0.120602179157	0.0214537029091	0.00330611300294	0.0683208596006
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium pseudolongum	0.0619073995634	0.126031886067	0.169216424353	0.0311854364012	0.00239314602977	0.107480653482	0.0191076717302	0	0.00203508486304	0	0.0164473684211	0.284181876401	0.310198527057	0	0	0.00637064407212	0.0779081657496	0.149599662874	0	0	0.00791749965361	0.587472856734	0.32197045921	0.00175183504721	0.0106388637693	0	0.00693745880884	0.0370350775091	0.212093487482	0.00286049372122	0.00330611300294	0.0124219744728
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium sp	0	0	0	0	0	0	0.00159230597752	0	0.00203508486304	0	0.00274122807018	0	0	0	0	0	0	0.00210703750527	0	0.00872889788935	0	0.00504990994327	0	0	0	0	0	0	0	0.0114419748849	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Rothia ; Rothia mucilaginosa	0.00814571046887	0	0	0.00194908977508	0	0	0	0	0	0	0	0	0	0	0.00301927809061	0	0	0	0	0.00698311831148	0	0	0	0	0.00797914782701	0.0201645426682	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Propionibacteriales ; Propionibacteriaceae ; Propionibacterium ; Propionibacterium sp	0.00162914209377	0	0	0	0	0	0	0.0531694925267	0.00407016972608	0.0198369403503	0.00274122807018	0	0	0	0	0	0	0	0	0	0	0.00841651657212	0.00804926148026	0.0122628453305	0	0.0403290853363	0.00346872940442	0	0	0	0	0.00310549361821
