	1-MS515F	2-MS515F	3-MS515F	38-MS515F	4-MS515F	40-MS515F	41-MS515F	42-MS515F	44-MS515F	46-MS515F	47-MS515F	48-MS515F	5-MS515F	50-MS515F	52-MS515F	53-MS515F	54-MS515F	56-MS515F	58-MS515F	59-MS515F	60-MS515F	62-MS515F	64-MS515F	65-MS515F	66-MS515F
Archaea ; Euryarchaeota ; Methanobacteria ; Methanobacteriales ; Methanobacteriaceae ; Methanobrevibacter ; Methanobrevibacter smithii	0	0	0.0436361369551	0	0.0790972368699	0	0	0	0	0	0	0	0	0.0388706772568	0.0076707705289	0.178765551395	0.0776222832201	0.0175541252194	0	0.267885111853	0.0232539052882	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinobaculum ; Actinobaculum sp	0	0.0035829879731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinomyces ; Actinomyces sp	0.0236837498584	0.0238865864874	0.0545451711939	0	0.0500949166842	0	0.00373836434099	0	0.00197720285113	0	0	0	0.0425393134155	0.00259137848378	0.00287653894834	0.0157023795144	0	0.00195045835771	0	0.0140423647342	0	0	0	0.0168185003504	0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Varibaculum ; Varibaculum cambriense	0.028832391132	0	0	0.0072202166065	0	0.0171716400824	0.011215093023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium adolescentis	1.19551450372	1.60637294127	0.659217354715	25.2129963899	2.73017295929	1.55498740746	2.84364914205	7.99432903188	38.3300544719	2.15007722539	4.98010724788	15.3658742915	0.927357032457	7.62772256702	1.25800636674	2.55586423481	14.8843540476	44.0433001755	1.42047150104	3.10336260626	4.40319536016	29.7049612377	2.1628146272	7.9985984583	6.40083640694
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium bifidum	0	0.175566410682	0.0810385400595	0.00120336943442	0.126555578992	0	0	0	1.55210423813	0.223265487132	0.553537450268	0.434819389223	0.0723168328063	1.61054172767	0.106431941088	0.334581471192	0.341988030419	0.531499902477	0.12533572068	0.234399472871	0.117637403223	2.49259836052	0.10883330695	0.333566923616	0.130688583626
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium dentium	0.00411891301885	0.00836030527058	0.0124674677015	0.00361010830325	0.0118645855305	0.00381592001832	0.001246121447	0.0549736705052	0.174982452325	0.0152921566529	0.0207576543851	0.108281871246	0.0297775193908	0.117907721012	0.0997200168757	1.71035149173	23.4340548081	0.0351082504389	0.053715308863	0.0702118236711	1.70984597707	0.540790306847	0.23745448789	3.97757533287	21.4997241019
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium pseudocatenulatum	0.0102972825471	0.0418015263529	0.0311686692537	0.125150421179	0.0435034802784	0.00953980004579	0.0199379431519	0.0679937503617	0.29855763052	0.042818038628	0.0691921812835	0.307926571356	0.0680629014648	0.257842159137	0.0115061557933	0.0760961468776	0.398236061738	0.128730251609	0.0179051029543	0.0129621828316	0.0779689765546	0.594698201359	0.146430267532	0.361597757533	0.238143641274
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium sp	0	0	0	0.00601684717208	0.00131828728116	0	0	0.00144667553961	0.00889741283007	0	0	0	0	0	0	0	0	0.00780183343086	0	0	0.00136787678166	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Curtobacterium ; Curtobacterium sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00593636219725	0	0
