taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
33995	species	Komagataeibacter europaeus	2	4	5	4	4.5	4.50	0.50	[4, 5]
28448	species	Komagataeibacter xylinus	3	4	5	4	4	4.33	0.47	[4, 4, 5]
29552	species	Haploplasma axanthum	2	2	2	2	2.0	2.00	0.00	[2, 2]
264635	species	Acholeplasma granularum	1	2	2	2	2	2.00	0.00	[2]
472	species	Acinetobacter sp.	1	7	7	7	7	7.00	0.00	[7]
202950	species	Acinetobacter baylyi	8	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7]
471	species	Acinetobacter calcoaceticus	6	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6]
40215	species	Acinetobacter junii	15	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
28090	species	Acinetobacter lwoffii	12	6	7	7	7.0	6.92	0.28	[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
40216	species	Acinetobacter radioresistens	5	6	7	7	7	6.60	0.49	[6, 7, 7, 7, 6]
108981	species	Acinetobacter schindleri	9	6	7	7	7	6.89	0.31	[6, 7, 7, 7, 7, 7, 7, 7, 7]
202954	species	Acinetobacter tandoii	1	6	6	6	6	6.00	0.00	[6]
202955	species	Acinetobacter tjernbergiae	1	6	6	6	6	6.00	0.00	[6]
202956	species	Acinetobacter towneri	10	6	7	7	7.0	6.90	0.30	[6, 7, 7, 7, 7, 7, 7, 7, 7, 7]
1166	species	Dolichospermum flos-aquae	4	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5]
165800	species	Anabaenopsis sp. PCC 9215	1	4	4	4	4	4.00	0.00	[4]
156213	species	Anabaenopsis elenkinii	1	4	4	4	4	4.00	0.00	[4]
1176	species	Aphanizomenon flos-aquae	1	5	5	5	5	5.00	0.00	[5]
2714	species	Aquifex pyrophilus	1	6	6	6	6	6.00	0.00	[6]
28111	species	Bacteroides eggerthii	3	4	4	4	4	4.00	0.00	[4, 4, 4]
28116	species	Bacteroides ovatus	15	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
818	species	Bacteroides thetaiotaomicron	21	5	6	5	5	5.10	0.29	[6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
820	species	Bacteroides uniformis	8	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4]
823	species	Parabacteroides distasonis	27	1	7	7	7	6.78	1.13	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1]
1685	species	Bifidobacterium breve	52	2	4	3	3.0	2.58	0.53	[3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 4, 3, 3, 3, 3, 2, 2]
139	species	Borreliella burgdorferi	23	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
143	species	Borrelia anserina	3	1	1	1	1	1.00	0.00	[1, 1, 1]
140	species	Borrelia hermsii	6	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1]
159	species	Brachyspira hyodysenteriae	10	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
375	species	Bradyrhizobium japonicum	19	1	2	2	2	1.89	0.31	[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
376	species	Bradyrhizobium sp.	3	1	1	1	1	1.00	0.00	[1, 1, 1]
186901	species	Bradyrhizobium sp. ANU289	1	1	1	1	1	1.00	0.00	[1]
292	species	Burkholderia cepacia	19	2	6	6	6	5.74	0.91	[6, 2, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
195	species	Campylobacter coli	78	1	4	3	3.0	2.77	0.64	[3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 2, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3]
28898	species	Campylobacter helveticus	11	2	3	3	3	2.82	0.39	[3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3]
197	species	Campylobacter jejuni	425	1	4	3	3	2.55	0.84	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
165799	species	Cyanospira rippkae	1	4	4	4	4	4.00	0.00	[4]
946381	species	Cyanospira capsulata	1	4	4	4	4	4.00	0.00	[4]
2238	species	Haloarcula marismortui	3	2	3	3	3	2.67	0.47	[2, 3, 3]
171164	species	Halosimplex carlsbadense	1	2	2	2	2	2.00	0.00	[2]
