#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Archaea ; Euryarchaeota ; Methanobacteria ; Methanobacteriales ; Methanobacteriaceae ; Methanobrevibacter ; Methanobrevibacter smithii,0.0,0.0,0.10720017917484004,0.0,0.18750821308608384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09417613283680575,0.023256514525681008,0.42269483171075894,0.16049625924201147,0.03830469653431993,0.0,0.6265742999057812,0.05561858033926278,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinobaculum ; Actinobaculum sp,0.0,0.008309243581222503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Actinomyces ; Actinomyces sp,0.03932557218860731,0.03692997147220308,0.08933348264574098,0.0,0.07917013441401365,0.0,0.00624113311799603,0.0,0.002888611617916652,0.0,0.0,0.0,0.0750346961397168,0.0041856059038472655,0.005814128631425305,0.024752400055094062,0.0,0.002837384928466527,0.0,0.021896413706338293,0.0,0.0,0.0,0.028526949884992624,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Actinomycetales ; Actinomycetaceae ; Varibaculum ; Varibaculum cambriense,0.05039432591681158,0.0,0.0,0.012168464525783254,0.0,0.03526462664680388,0.019708841425303342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium adolescentis,1.5309150322198284,1.9153269266019255,0.8326418617515338,31.131874718125886,3.327587911747159,2.3396432888823213,3.661250841975579,10.447203811633651,43.186600121936046,3.45466506561654,5.8193200085822765,18.782163903077528,1.2615087731446573,9.50154059999718,1.9609606078215416,3.107143277635336,15.823002168544523,49.412073832732204,2.1524718870832644,3.7319594568922136,5.414674432544894,36.674711920049376,3.2811832644705867,10.462937210374529,8.081389618749622
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium bifidum,0.0,0.2939732386138155,0.14374443829534933,0.002086650054066085,0.216615986236905,0.0,0.0,0.0,2.455841285257334,0.5037827765918969,0.908344070868356,0.746392186029919,0.13815052357844446,2.8173509775186876,0.2329849379367119,0.5712092320415777,0.5105515911638439,0.8373870682403822,0.2667163614595637,0.395850189470528,0.2031513233888499,4.321752167099982,0.2318690846692763,0.6127630029442975,0.2317164153064652
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium dentium,0.005129422459380855,0.009694117511441714,0.015314311310744077,0.004335015487310284,0.014063115981474066,0.005583565885756954,0.001560283279503181,0.06986543917106347,0.19173159613921228,0.023895176218521903,0.023588560090419434,0.12871634896804113,0.039393215473285184,0.14283380146880004,0.15116734441692656,2.022080681432896,24.226794030959436,0.03830469653442904,0.07915760584767388,0.08211155139888555,2.0448007477627934,0.6493161872464747,0.35033310792623806,5.059967735851076,26.398048024300184
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium pseudocatenulatum,0.01003800872674834,0.03794175151249203,0.029969298064030356,0.11763642809629972,0.04036380320831288,0.010926743416342663,0.019541708392896817,0.06764189187434827,0.25607457199872447,0.05237298897195602,0.06154875431275308,0.2865261192783482,0.07048268913319779,0.24450163645845815,0.013653531032630105,0.07042305600512334,0.32227616081956784,0.10994172521271688,0.02065430028637352,0.01186618837016483,0.07298858246436957,0.5589372416167946,0.16911056742669345,0.360075981913693,0.22888482962687837
Bacteria ; Actinobacteria ; Actinobacteria ; Bifidobacteriales ; Bifidobacteriaceae ; Bifidobacterium ; Bifidobacterium sp,0.0,0.0,0.0,0.008678709684300064,0.0018769590899436702,0.0,0.0,0.002208485511965799,0.011710587640182898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01022481055305874,0.0,0.0,0.001964973691549571,0.0,0.0,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Curtobacterium ; Curtobacterium sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009624535932039508,0.0,0.0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Rothia ; Rothia sp,0.0032880913201239156,0.0035509587954041426,0.0,0.0,0.010016464374249016,0.0,0.0,0.0,0.0,0.0,0.005040290617606134,0.0,0.026454540305584584,0.0,0.0,0.0054923964619373175,0.0014910466298983613,0.0,0.0,0.008097786134010077,0.0020972315361731,0.003951534732508436,0.01871437542339754,0.022858132920721533,0.0
